image,resolution,num_masks,time_seconds
pi0_episode_2_success_False_0011.jpg,512,15,2.396528720855713
pi0_episode_7_success_False_0027.jpg,512,22,2.108414649963379
pi0_episode_5_success_False_0024.jpg,512,16,2.359724521636963
pi0_episode_2_success_False_0024.jpg,512,18,2.4022598266601562
pretrained_model_episode_0_success_False_0006.jpg,512,22,2.4661343097686768
pi0_episode_5_success_False_0022.jpg,512,18,2.405897617340088
pi0_episode_4_success_False_0026.jpg,512,19,2.4277758598327637
pretrained_model_episode_3_success_False_0022.jpg,512,18,2.5716991424560547
pi0_episode_6_success_False_0034.jpg,512,16,2.2137269973754883
pi0_episode_5_success_False_0028.jpg,512,15,2.3924150466918945
